,Country,GDP (per capita PPP),HDI Rank,HDI,Life Expectancy,Overall rank,Score,GDP per capita,All types,Beer,Spirits,Wine,Other
55,Thailand,18087.0,79.0,0.772,76.9,46,6.072,1.016,6.57,1.86,4.53,0.18,6.57
56,Dominican Republic,17712.0,88.0,0.751,73.9,83,5.3020000000000005,0.982,5.54,2.97,2.18,0.33,0.06
57,Botswana,17634.0,100.0,0.73,69.3,146,3.59,1.0170000000000001,4.81,2.63,0.28,0.38,1.52
58,Serbia,17355.0,64.0,0.803,75.8,78,5.398,0.975,7.35,3.02,2.38,1.72,0.24
59,Lebanon,15612.0,92.0,0.747,78.9,80,5.358,0.965,1.33,0.44,0.63,0.24,0.02
60,China,15243.0,85.0,0.755,76.7,86,5.246,0.9890000000000001,5.62,1.67,3.75,0.2,0.0
61,Libya,15018.0,105.0,0.721,72.7,70,5.566,0.985,0.01,0.0,0.0,0.01,0.0
62,Turkmenistan,14845.0,111.0,0.71,68.1,68,5.636,1.016,3.08,0.72,1.03,1.33,0.0
63,Gabon,14743.0,119.0,0.697,66.2,103,4.758,1.036,7.16,5.66,0.68,0.77,0.05
64,Brazil,14596.0,84.0,0.762,75.7,28,6.419,0.986,6.19,3.84,2.06,0.26,0.04
65,Colombia,14456.0,83.0,0.764,77.1,37,6.26,0.96,4.29,3.04,1.14,0.1,0.02
66,Bosnia and Herzegovina,14420.0,73.0,0.777,77.3,93,5.129,0.915,4.99,3.81,0.57,0.44,0.17
67,Georgia,14257.0,61.0,0.805,73.6,128,4.34,0.853,5.44,1.64,2.63,1.15,0.02
68,Azerbaijan,14210.0,88.0,0.754,72.9,87,5.2010000000000005,1.024,2.92,0.31,2.48,0.13,0.0
69,Albania,13601.0,69.0,0.792,78.5,112,4.586,0.9159999999999999,4.7,1.6,1.72,1.3,0.08
70,Sri Lanka,12865.0,72.0,0.779,76.8,116,4.471,0.9179999999999999,2.58,0.22,2.32,0.01,0.03
71,Paraguay,12850.0,103.0,0.727,74.1,64,5.681,0.835,6.02,3.24,1.6,1.1,0.07
72,Peru,12782.0,79.0,0.771,76.5,65,5.662999999999999,0.934,5.3,3.06,1.8,0.43,0.01
73,Armenia,12715.0,81.0,0.771,74.9,129,4.321000000000001,0.816,3.71,0.49,2.83,0.38,0.01
74,South Africa,12631.0,114.0,0.707,63.9,105,4.724,0.94,7.26,3.89,1.32,1.36,0.68
75,Ukraine,12338.0,74.0,0.774,72.0,138,4.103,0.7929999999999999,5.15,2.44,2.65,0.31,0.05
76,Mongolia,11916.0,99.0,0.735,69.7,94,5.125,0.914,5.77,2.25,1.93,1.59,0.0
77,Ecuador,11562.0,86.0,0.762,76.8,48,5.973,0.889,3.16,2.3,0.6,0.23,0.03
78,Algeria,11479.0,91.0,0.746,76.7,84,5.295,0.9790000000000001,0.58,0.3,0.1,0.18,0.0
79,Indonesia,11372.0,107.0,0.712,71.5,96,5.093,0.899,0.08,0.06,0.01,0.0,0.0
80,Egypt,11366.0,116.0,0.701,71.8,122,4.419,0.885,0.13,0.08,0.04,0.01,0.0
81,Bhutan,11345.0,129.0,0.649,71.5,97,5.082,0.7959999999999999,0.06,0.01,0.0,0.05,0.0
82,Tunisia,10764.0,95.0,0.738,76.5,111,4.592,0.9,1.6,1.0,0.19,0.38,0.02
83,Iraq,10660.0,123.0,0.671,70.5,117,4.456,1.01,0.17,0.12,0.05,0.0,0.0
84,Namibia,9932.0,130.0,0.645,63.4,119,4.441,0.8740000000000001,4.3,1.3,0.57,2.05,0.37
85,Jordan,9854.0,102.0,0.728,74.4,90,5.1610000000000005,0.8220000000000001,0.28,0.06,0.2,0.02,0.0
86,Jamaica,9738.0,101.0,0.734,74.4,56,5.89,0.8190000000000001,3.63,1.24,1.69,0.36,0.35
87,El Salvador,8616.0,124.0,0.67,73.1,40,6.167000000000001,0.8059999999999999,2.82,1.39,1.38,0.05,0.01
88,Philippines,8516.0,107.0,0.711,71.1,71,5.524,0.775,4.83,1.38,3.4,0.04,0.01
89,Guatemala,8448.0,127.0,0.657,74.1,30,6.382000000000001,0.7809999999999999,1.62,0.9,0.68,0.03,0.01
90,Morocco,7438.0,121.0,0.68,76.5,85,5.254,0.779,0.43,0.17,0.08,0.18,0.0
91,Belize,7119.0,110.0,0.714,74.5,49,5.956,0.807,5.61,4.04,1.25,0.18,0.14
92,Angola,6934.0,148.0,0.582,60.8,142,3.795,0.73,5.35,3.64,0.99,0.64,0.08
93,Uzbekistan,6755.0,106.0,0.717,71.6,44,6.096,0.7190000000000001,1.57,0.55,0.88,0.14,0.0
